Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
Lin J.; Ding W.; Zhou H.; Wang H.,"Lin, Jie (57195322572); Ding, Wei (56701589000); Zhou, Huicheng (7404742641); Wang, Hao (57212881406)",57195322572; 56701589000; 7404742641; 57212881406,Mitigating adverse impacts of reservoir impoundment on lake ecology: A case study of the Three Gorges Reservoir and Dongting Lake,2024,Journal of Cleaner Production,451,,141835,,,,1,10.1016/j.jclepro.2024.141835,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189855890&doi=10.1016%2fj.jclepro.2024.141835&partnerID=40&md5=47ca95f08d572784915d75008555ccd1,"Upstream reservoir impoundment has brought adverse impacts on the downstream river-connected lakes, including lower water levels, frequent droughts, and reduced biodiversity. Existing research on ecological reservoir operation focused more on the effectiveness of operation redesign for ecology improvement, but less discussion on why they are eco-friendly. In this paper, the reservoir operation mechanisms targeting lake ecology are explored from three perspectives: ecological impoundment strategy, dominant characteristics of ecology and conservation tradeoffs, and critical parameters of the rule curves. Therefore, a reservoir operation framework, which couples the lake hydrological response model and multi-objective optimization model, is developed in this study. This framework is to maximize the water conservation and lake ecology benefits, assessing the latter by ecological reliability and ecological water shortage rate. Taking the Three Gorges Reservoir and Dongting Lake as the case study, operation rule curves are optimized for different impoundment strategies. The results indicate that impoundment with early storage time and slow storage rate can improve the ecological reliability and ecological water shortage by 9.90 % and 16.39 % than conventional operation. The ecological objectives are weakly competitive or synergistic when impounding fast, but strong competitive when impounding slow. Meanwhile, as the storage rate declines, the ecological improvement causes a slight decrease in power generation and a significant decrease in water supply. Finally, the crucial parameters of the rule curves are explored and appropriate values are recommended for different ecological preferences. © 2024 Elsevier Ltd",Impoundment strategy; Lake ecology; Multi-objective optimization; Reservoir operation,Biodiversity; Curve fitting; Ecology; Lakes; Reservoirs (water); Rivers; Water conservation; Water levels; Water supply; Case-studies; Down-stream; Impoundment strategy; Lake ecology; Low water; Multi-objectives optimization; Reservoir operation; Rule curves; Three Gorge reservoir; Water shortages; Multiobjective optimization,Article,Final,,Scopus,2-s2.0-85189855890
Yue Q.; Zhang J.; Qin R.; Huang J.; He J.,"Yue, Qiaobing (57219775512); Zhang, Jialin (58519382900); Qin, Rongnuo (57222542157); Huang, Junlong (57194387941); He, Jianhua (55714945700)",57219775512; 58519382900; 57222542157; 57194387941; 55714945700,Analysis on the loss path and cooperative protection of global biodiversity based on input-output model,2023,Journal of Cleaner Production,419,,138232,,,,4,10.1016/j.jclepro.2023.138232,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166470895&doi=10.1016%2fj.jclepro.2023.138232&partnerID=40&md5=09cef5230848026d02f64ced393e1405,"Biodiversity plays a vital role in human survival and development. In the context of economic globalization and increasingly serious global biodiversity loss, the division of global biodiversity responsibilities and cross-regional cooperative conservation are important parts of species conservation. In this paper, an environmentally expanded multi-regional input-output analysis model is used to measure biodiversity loss footprint (overall footprint, internal footprint and external footprint), which not only covers the interference within the region, but also traces the influence out of it. In addition, structural path analysis and social network analysis were used to identify the transmission process and divide the biodiversity protection communities in various countries. The results show that: (1) There are significant differences among countries in terms of biodiversity loss footprint. The top five countries in terms of overall biodiversity loss footprint are Indonesia, China, the United States, Mexico and Brazil, but they have different impact modes on biodiversity; (2) While most of the footprint of biodiversity loss occurs within the region, more than a quarter of the footprint is due to global production chains outside the region. The study concluded that through the global production chain, species will eventually be influenced by the United States, Japan, India and China; (3) Among economic sectors, agriculture has the largest direct biodiversity footprint. Food & Beverages sector has the largest indirect biodiversity footprint; (4) Eight biodiversity protection communities have been formed around the world, including source community and mixed community of biodiversity protection, each four. Among them, the source community is represented by Indonesia, India, Australia, the Philippines and Thailand in South and Southeast Asia, while the mixed community is mainly composed of China, Japan, Cameroon and Vietnam in East Asia and South Africa. In order to protect biodiversity effectively, different strategies are proposed for different types of communities. © 2023 Elsevier Ltd",Biodiversity loss; Biodiversity protection community; EE-MRIO; Global trade; IO analysis,Conservation; International trade; Regression analysis; Biodiversity loss; Biodiversity protection; Biodiversity protection community; Community IS; EE-MRIO; Global production; Global trade; Indonesia; IO analyse; Production chain; Biodiversity,Article,Final,,Scopus,2-s2.0-85166470895
Dahlmann F.,"Dahlmann, Frederik (23970281000)",23970281000,Conceptualising Sustainability as the Pursuit of Life,2024,Journal of Business Ethics,,,,,,,3,10.1007/s10551-024-05617-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186259644&doi=10.1007%2fs10551-024-05617-y&partnerID=40&md5=b9653d5f27fd5c2ab92710c2393c6b2d,"Complex and urgent challenges including climate change and the significant decline in biodiversity provide a broad agenda for interdisciplinary scholars interested in the implications facing businesses, humanity, and other species. Within this context of sustainability, persistent conflicts between key paradigms create substantial barriers against—but also opportunities for—developing new conceptual approaches and theoretical models to understand and respond to these critical issues. Here, I revisit paradigmatic tensions to assess their impact on research and debate on sustainability, ethics, and business. Drawing on relational ontology and values of nature that recognise humanity’s tight embeddedness within the planetary ecosystem, I examine how conceptualising sustainability as the pursuit of life might generate new insights for research and practice into the wider transformation needed to sustain and restore socioecological systems. The aim here, however, is not to reconcile these paradigmatic tensions but instead use them as a fruitful lens for examining the implications for sustainability, while acknowledging the inherent ethical dilemmas for individuals, organisations, and society. © The Author(s) 2024.",Biodiversity; Ecology; Ethics; Ontology; Paradigm; Relational values; Sustainability,,Article,Article in press,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85186259644
Mirzad M.Z.; Kazemi H.; Sheikh F.; Klug H.; Gherekhloo J.,"Mirzad, Mohammad Zaker (58302969400); Kazemi, Hossein (56576027000); Sheikh, Fatemeh (56763724700); Klug, Hermann (8947025200); Gherekhloo, Javid (36343692600)",58302969400; 56576027000; 56763724700; 8947025200; 36343692600,Assessment and quantification of some short term ecosystem services in garden pea field,2023,Journal of Cleaner Production,414,,137464,,,,0,10.1016/j.jclepro.2023.137464,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161042134&doi=10.1016%2fj.jclepro.2023.137464&partnerID=40&md5=51e571be1476e1504b7a3d56c1186006,"It is necessary to classify, quantify, and evaluate ecosystem services (ES) for understanding related ecosystem value. Garden pea (Pisums ativum L.), also called pea, herbaceous annual plant in the family leguminous, grown nearly worldwide for edible seeds. It contributes to the sustainability of the agricultural ecosystems. However, there is no information about the provision and consumption of ES in garden pea fields. The main objective of this study was to provide a first evidence base from ES provided by garden pea fields. Therefore, we developed a quantitative framework for assessing and quantifying ES of four different varieties of garden pea. For this purpose, a field experiment was carried out in the research farm of Gorgan University of Agricultural Sciences and Natural Resources (northeast of Iran), during 2019–2020. In this study, we developed a framework for quantifying of ES based on the modified Millennium Ecosystem Assessment (MEA). The results showed that garden pea cultivation increased microbial respiration, soil organic matter, and carbon accumulation. Based on the results, varieties had significant effects on soil carbon accumulation. Peas Wolf and Pea Wolf cultivars with 1206.6 kg/ha carbon accumulation had the highest amount, and Reyna cultivar with −1876.9 kg/ha carbon accumulation had the lowest value. In this experiment, Peas Wolf and Utrillo cultivars provided more ES in terms of dry weight, the number of nodule, and root volume as nitrogen biofixation potential. In general, Peas Wolf compared to Utrillo cultivar was more successful in providing regulating services. However, Utrillo cultivar provided more provision services (14,520 kg/ha green yield, 23,680 kg/ha green biomass and 23,62% protein). In addition, different cultivars of garden pea had positive effects on the transfer of carbon from the atmosphere to the soil. © 2023 Elsevier Ltd",Biodiversity; Cultivar; Ecosystem services; Garden pea,Biodiversity; Carbon; Ecosystems; Farms; Plants (botany); Seed; Soils; Agricultural ecosystems; Agricultural science; Annual plants; Carbon accumulation; Cultivar; Ecosystem services; Field experiment; Garden pea; Quantitative frameworks; Short term; Cultivation,Article,Final,,Scopus,2-s2.0-85161042134
Oiza N.; Moral-Vico J.; Sánchez A.; Gea T.,"Oiza, Nicolás (57220597626); Moral-Vico, Javier (55053469800); Sánchez, Antoni (35557864400); Gea, Teresa (23488390500)",57220597626; 55053469800; 35557864400; 23488390500,Enhanced anaerobic digestion of food waste using purified lactonic sophorolipids produced by solid-state fermentation of molasses and oil waste: A circular approach,2024,Journal of Cleaner Production,468,,143062,,,,0,10.1016/j.jclepro.2024.143062,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197645916&doi=10.1016%2fj.jclepro.2024.143062&partnerID=40&md5=8d4bd5cf9897c1e3465768fa679ab5b7,"In the present work, the effect of pure lactonic sophorolipids (SL) on the anaerobic digestion of biowaste was investigated. For this purpose, crude SL were produced from organic waste (a mixture of molasses and winterization oil cake) through solid-state fermentation (SSF) in a 22L pilot-scale aerobic bioreactor using the yeast Starmerella bombicola as SL-producing microorganism. The crude material extracted from the SSF exhaust solid contained several forms of SL and it was purified using High-Performance Liquid Chromatography (HPLC) and characterized by means of Liquid Chromatography-Mass Spectrometry (LC-MS) yielding a high-purity C18 lactonic SL (>99%). This pure SL was used to enhance the batch anaerobic digestion of source-selected biowaste, mainly composed by kitchen waste. The best dosage of SL was in the range of 0.02–0.04 g SL/g TS, with an increment of methane yield of 41% in NmL/g VS. The presence of SL did not significantly alter the structure of the microbial community or general biodiversity. In summary, we propose a circular approach for waste valorisation in which different organic waste streams are combined in a biorefinery-like configuration, where the solid-state fermentation is used to produce SL and results in an enhanced bioenergy production. © 2024 The Author(s)",Anaerobic digestion; Circular bioeconomy; Organic waste; Purification; Solid-state fermentation; Sophorolipids,Anaerobic digestion; Biodiversity; Fermentation; High performance liquid chromatography; Mass spectrometry; Microorganisms; Oils and fats; Aerobic bioreactors; Biowastes; Circular bioeconomy; Food waste; Oil cakes; Oil wastes; Organic wastes; Pilot scale; Solid-state fermentation; Sophorolipids; Purification,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85197645916
Schlesier H.; Schäfer M.; Desing H.,"Schlesier, Hauke (58798043000); Schäfer, Malte (58354963000); Desing, Harald (57212446988)",58798043000; 58354963000; 57212446988,Measuring the Doughnut: A good life for all is possible within planetary boundaries: Measuring the Doughnut,2024,Journal of Cleaner Production,448,,141447,,,,5,10.1016/j.jclepro.2024.141447,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187214006&doi=10.1016%2fj.jclepro.2024.141447&partnerID=40&md5=00d56a3e0e47556f14fa679bc0beb648,"Humanity is continuing a path towards ecological instability. While resource consumption is unprecedented, significant parts of the human population are still deprived of decent living. The safe and just operating space postulates that it is possible to simultaneously stay within ecological limits and fulfil basic needs. However, evidence that such a state can be achieved given existing population and available technologies is lacking. Here, we attempt to show whether a safe and just space exists by modelling material and energy requirements for satisfying basic needs with various technological scenarios. Environmental impacts of a basket of products representing basic needs satisfaction are measured through life cycle analysis and compared to planetary boundaries for the first time. We find that all planetary boundaries considered can be respected for 8.0 and 10.4 billion people with a probability of 81% and 73% respectively. However, this requires a fossil-free energy system, and an essentially vegan diet as well as no additional cropland conversion. To actually create and enlarge a safe and just operating space, carbon dioxide emissions, biodiversity, Phosphorus and Nitrogen emissions would need to be further reduced, mainly by improved agricultural practices and material circularity. Significance Statement The purpose of this study is to find out if humanity can fulfil basic needs for all humans without destabilizing the Earth system. This information is relevant for identifying pathways to futures in which all humans can live good lives without compromising the livelihoods of future generations. Our results show that it is theoretically possible to satisfy the basic needs of 10.4 billion people within ecological limits. However, large-scale transformations in all sectors and dietary changes are necessary to guarantee safe climate conditions. © 2024 The Author(s)",Decent living standards; Doughnut economics; Planetary boundaries; Safe and just operating space; Sufficiency,Carbon dioxide; Earth (planet); Environmental impact; Free energy; Global warming; Life cycle; Decent living standard; Doughnut economic; Good life; Human population; Living standards; Model materials; Planetary boundary; Resources consumption; Safe and just operating space; Sufficiency; Biodiversity,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85187214006
Maroun W.; Ecim D.,"Maroun, Warren (55189524400); Ecim, Dusan (57836969000)",55189524400; 57836969000,"Biodiversity reporting by United Kingdom (UK)-listed companies: A review of extent, content and readability of disclosures",2024,Business Strategy and the Environment,,,,,,,0,10.1002/bse.3866,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199966301&doi=10.1002%2fbse.3866&partnerID=40&md5=730665bd87debb487e472e033f12e2fc,"This study examines biodiversity reporting by UK-listed companies. An instrument is developed, based on earlier research, and used to analyse biodiversity-related disclosures as either policy considerations or actions taken to conserve biodiversity. A mixed design is employed. The extent of reporting, information content of disclosures and their readability are used to provide an overarching perspective on how firms internalise biodiversity. Outliers are identified and their reports are examined interpretively to identify how leading reporters understand biodiversity as a policy imperative and factor it into their operational and managerial performances. This qualitative analysis highlights best practices that can be used by other entities interested in developing the accounting and management infrastructure necessary for reporting comprehensively on biodiversity. Best practices are, however, isolated and stand in stark contrast with how organisations are dealing with biodiversity on average. At the policy level, there is little on how biodiversity is defined and the rationale for wanting to protect biodiversity. When it comes to performance, few organisations are setting detailed biodiversity-related targets linked clearly to operational plans, risk assessments and key performance indicators. Post-implementation reviews of conservation initiatives are seldom conducted and biodiversity is not being factored into valuations, cost assessments and project appraisals. Understanding these limitations is timely given the international community's recent efforts to develop standards for extra-financial reporting. The results will be relevant for regulators, scholars and practitioners interested in advancing the quality of biodiversity reporting and factoring biodiversity into mainstream business discourses. © 2024 The Author(s). Business Strategy and the Environment published by ERP Environment and John Wiley & Sons Ltd.",biodiversity; disclosure quality; disclosure readability; sustainability reporting; United Kingdom,,Article,Article in press,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85199966301
Cruz Torres F.; Babí Almenar J.; Rugani B.,"Cruz Torres, Francesco (58310884700); Babí Almenar, Javier (57204524977); Rugani, Benedetto (22986401100)",58310884700; 57204524977; 22986401100,Photovoltaic-green roof energy communities can uphold the European Green Deal: Probabilistic cost-benefit analyses help discern economically convenient scenarios,2023,Journal of Cleaner Production,414,,137428,,,,9,10.1016/j.jclepro.2023.137428,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161715209&doi=10.1016%2fj.jclepro.2023.137428&partnerID=40&md5=848a5b7a3eb57a8972b5e96f027e9f57,"The new roadmap of the European Union (EU), the European Green Deal, aims at tackling climate adaptation, energy, biodiversity, and pollution challenges. To contribute to such aim, the latest EU Renewable Energy Directive defines for the first time renewable energy communities. Among them, Photovoltaic-Green roof Energy Communities (PGECs) emerge as a potential option in urban areas. This paper investigates whether and under which conditions PGECs are capable to meet the objectives of the European Green Deal in an economically convenient manner. Since some conditions are context-specific, this research is showcased using a case study (Luxembourg). First, European legislation was reviewed to determine the suitable legal model for PGECs. Second, a systematic literature review helped identifying lifecycle costs and benefits of photovoltaic-green roofs and their value ranges. Third, a model for probabilistic social and private cost-benefit analyses was developed and tailored to Luxembourg. Lastly, Scenario Discovery was used to identify the ranges of input values leading to desirable net present values. Results show that PGECs can contribute to achieving multiple objectives of the European Green Deal in an economically convenient manner. From the societal perspective, PGECs are found to be economically convenient for any cost, benefit, and discount rate in the case study. From the private perspective, PGECs remain convenient in 62% of the scenarios, with green roofs’ installation cost and electricity generation benefit playing pivotal roles. This paper presents a rare combination of probabilistic cost-benefit analyses and scenario discovery, It supports policymakers designing incentive schemes for PGECs, and can be replicated in other countries. © 2023",Energy efficiency; Exploratory modelling; Robust decision making; Scenario discovery; Uncertainty,Biodiversity; Cost benefit analysis; Decision making; Economic analysis; Laws and legislation; Life cycle; Roofs; Uncertainty analysis; Cost-benefits analysis; Decisions makings; Energy; Exploratory modeling; Green roof; Photovoltaics; Robust decision making; Robust decisions; Scenario discovery; Uncertainty; Energy efficiency,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85161715209
Schulte M.; Jonsson R.; Eggers J.; Hammar T.; Stendahl J.; Hansson P.-A.,"Schulte, Maximilian (57222599869); Jonsson, Ragnar (8341356700); Eggers, Jeannette (24922599100); Hammar, Torun (56201401500); Stendahl, Johan (6507379719); Hansson, Per-Anders (7102182003)",57222599869; 8341356700; 24922599100; 56201401500; 6507379719; 7102182003,Demand-driven climate change mitigation and trade-offs from wood product substitution: The case of Swedish multi-family housing construction,2023,Journal of Cleaner Production,421,,138487,,,,5,10.1016/j.jclepro.2023.138487,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168799680&doi=10.1016%2fj.jclepro.2023.138487&partnerID=40&md5=946a940d09296fb8079d2bd3cc9d3a56,"Multi-family housing construction (MFHC) with wood instead of concrete as frame material results in lower greenhouse gas emissions. Hence, substituting wood for concrete in MFHC in Sweden until 2030, and onwards to 2070, could be a promising climate change mitigation option. But to what extent, and how would it impact Sweden's forests? Here we assess climate and biodiversity implications - in terms of the area of old forest - of a completely wood-based future MFHC in Sweden. The wood required is assumed to be exclusively sourced as additional fellings in Swedish forests, thus carbon leakage from wood imports as well as displacement of other wood uses can be disregarded. Different types of timber frame systems and the role of varying future dwelling sizes are considered. We find that the wood needed for a complete substitution of concrete would result in very minor increases in harvests. We further register slight net additional climate change mitigation, irrespective of the wood construction system. There is a small tradeoff between climate change mitigation and biodiversity, as the area of old forest reduces slightly. The largest climate benefit, and lowest impact on Swedish forests, is provided when using timber-light frame combined with reduced dwelling size. © 2023 The Authors",Bioeconomy; Multi-family housing construction; Substitution effect; Sweden; Wood construction,Climate change; Concretes; Economic and social effects; Forestry; Gas emissions; Greenhouse gases; Housing; Timber; Climate change mitigation; Demand-driven; Housing construction; Multi-family housing construction; Multi-family housings; Substitution effect; Sweden; Swedishs; Trade off; Wood construction; Biodiversity,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85168799680
Zeng F.; Liu D.; Xiao C.; Li K.; Qian X.; He Y.; Giesy J.P.; Mu Y.; Wang M.,"Zeng, Fangang (55175848400); Liu, Di (58831848800); Xiao, Can (58830942600); Li, Kuntai (58832308300); Qian, Xuelin (58829586400); He, Yingru (58832764500); Giesy, John P. (35459135300); Mu, Yunsong (55364209900); Wang, Mengxiao (58480582900)",55175848400; 58831848800; 58830942600; 58832308300; 58829586400; 58832764500; 35459135300; 55364209900; 58480582900,Advances and perspectives on the life-cycle impact assessment of personal protective equipment in the post-COVID-19 pandemic,2024,Journal of Cleaner Production,437,,140783,,,,2,10.1016/j.jclepro.2024.140783,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182892016&doi=10.1016%2fj.jclepro.2024.140783&partnerID=40&md5=8f9ea6d140dde6f5c5175116dd23be93,"The coronavirus disease 2019 (COVID-19) pandemic initiated an unprecedented surge in production and consumption of personal protective equipment (PPE). There is still an elevated rate of consumption as the world is entering the post-COVID-19 pandemic period. Given the secondary environmental risks related to PPE, it is necessary to critically analyse the threats of PPE to ecosystems and human health. This review examines production, consumption, and mismanagement of PPE from the view of life-cycle and adverse impacts of the main components of PPE, including microplastics, metals, additives, and dyes, on ecosystems and human health. CO2 emissions, energy consumption costs and loss of biodiversity are the major environmental impacts from production of PPE. Oxidative stress is the most important toxicological impact of the main ingredients of PPE on ecosystems, followed by growth inhibition, DNA damage, and water eutrophication. In contrast, adverse effects on human health include organ damage, immune system damage, nervous system damage, carcinogenesis, and reproductive disorders. The complex and diverse environmental impacts generated by PPE in various stages, including climate change, ecological toxicology, human health, and other aspects, which posed a great challenge to conduct a life-cycle impact assessment (LCIA) related to PPE. Another goal of this review was to investigate the necessity and propose a conceptual framework for conducting a cradle-to- cradle LCIA of PPE, which incorporates sound management strategies for the manufacture and disposal of PPE to reduce the entry of disposable PPE into the environment. The findings could provide reference for the prevention and control of the secondary environmental risks related to PPE caused by major global public health crisis such as the COVID-19 pandemic. © 2024",Environmental behaviour; Life-cycle impact assessment; Microplastic; Multi-objective decision-making; Personal protective equipment; Toxicity,Additives; Biodiversity; Climate change; Decision making; Ecosystems; Energy utilization; Environmental impact; Eutrophication; Health risks; Life cycle; Microplastic; Toxicity; Ecosystem health; Environmental behavior; Environmental risks; Human health; Lifecycle impact assessment; Microplastics; Multi objective decision making; Personal protective equipment; Production and consumption; Rate of consumption; COVID-19,Review,Final,,Scopus,2-s2.0-85182892016
Liu D.; Mo Q.; Zhang W.; Lin W.; Li W.; Batyrbek M.; Ding R.; Li H.; Yang B.; Zou Y.; Wang L.; Gan Y.; Zhang X.; Han Q.,"Liu, Dan (58719358200); Mo, Qin (58088566700); Zhang, Wei (57218451203); Lin, Wei (58976074100); Li, Wenjing (58976743600); Batyrbek, Maksat (57926199300); Ding, Ruixia (7102179366); Li, Hui (57196364264); Yang, Baoping (7404472852); Zou, Yufeng (57200280707); Wang, Li (57188855720); Gan, Yantai (58279483300); Zhang, Xudong (57994612100); Han, Qingfang (23008899500)",58719358200; 58088566700; 57218451203; 58976074100; 58976743600; 57926199300; 7102179366; 57196364264; 7404472852; 57200280707; 57188855720; 58279483300; 57994612100; 23008899500,"Adapting to diversified garlic-maize rotation systems by adjusting nitrogen application: Assessing crop yield, nitrogen utilization, and nitrogen footprint",2024,Journal of Cleaner Production,461,,142672,,,,0,10.1016/j.jclepro.2024.142672,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194063803&doi=10.1016%2fj.jclepro.2024.142672&partnerID=40&md5=b9fea414ac372db9fd451f1db240b9a2,"Diversified crop rotation is crucial for maintaining sustainable agricultural production by improving resource use efficiency, balancing soil nutrients, and preserving biodiversity. Despite these benefits, there is a notable gap in research concerning the nutrient transport characteristics in cash crop-grain rotation systems. This study was to investigate: (i) the nitrogen (N) uptake and distribution among the different plant organs in rotation crops; (ii) the N footprint in different growth seasons in response to crop N fertilization and residual N in the soil; and (iii) the influence of environmental factors on the productivity and N footprint in cash-grain rotation systems. In the three-year rotation system, N fertilizer was applied at the rates of 220, 175, and 130 kg N eq ha−1 for maize, and 300 and 240 kg N eq ha−1 for garlic. Results showed that maintaining a high N application rate during the garlic season and appropriately reducing it during the maize season (G300M175) enhanced N transfer to the grains of maize, increasing maize N use efficiency by 18.9%, while simultaneously increasing garlic dry matter and N accumulation. While the maize yield remained stable, garlic yield decreased with the reduced N rate, resulting in a significant reduction in N footprint. Water supplies (precipitation and irrigation) positively impacted dry matter accumulation, N absorption and yield, while reducing N footprint in both crops. Elevated air temperature favored maize yield but hindered garlic production and raised garlic N footprint. Although N fertilizer increased N footprint per unit land area (NFa), it decreased the N footprint per unit N uptake by crops (NFn) while boosting crop yields. Maintaining a suitable N input rate for cash crops in previous season while reducing N input in the following season staple crops can enhance the whole systems’ productivity while decreasing the nitrogen footprint. © 2024",Climatic conditions; Diversified rotation system; N-fertilizer management; Nitrogen footprint; Nitrogen transport; NUE,Biodiversity; Crop rotation; Efficiency; Grain (agricultural product); Nitrogen fertilizers; Nutrients; Water absorption; Water supply; Cash crops; Climatic conditions; Crop yield; Diversified rotation system; Fertilizer management; N fertilizers; N-fertilizer management; Nitrogen footprints; Nitrogen transport; NUE; Rotation,Article,Final,,Scopus,2-s2.0-85194063803
Zhu Y.; Prescott G.W.; Chu P.; Carrasco L.R.,"Zhu, Yingtong (58977110200); Prescott, Graham W. (54407336800); Chu, Patricia (58977110300); Carrasco, Luis R. (35291449900)",58977110200; 54407336800; 58977110300; 35291449900,Glaring gaps in tools to estimate businesses’ biodiversity impacts hinder alignment with the Kunming-Montreal global biodiversity framework,2024,Journal of Cleaner Production,451,,142079,,,,4,10.1016/j.jclepro.2024.142079,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189861132&doi=10.1016%2fj.jclepro.2024.142079&partnerID=40&md5=45309b59814b6f10d69d249532532bd4,"The Kunming-Montreal Global Biodiversity Framework, in a first-time move, calls for companies and financial institutions to measure and report their impacts on biodiversity. While many tools that measure businesses' biodiversity footprints have recently emerged (“biodiversity indices”), it is unclear whether they really allow companies to measure what the Global Biodiversity Framework requires. Identifying gaps in biodiversity indices concerning the GBF would aid businesses and strengthen its implementation. To fill this gap, here we assessed the degree of the alignment between the indices and the Global Biodiversity Framework. The businesses’ biodiversity indices identified by the European Union Business @ Biodiversity Platform and the Taskforce for Nature Financial Disclosures were selected. A semi-quantitative gap analysis was applied to compare their capabilities against the metrics extracted from the Global Biodiversity Framework. The glaring gaps were found in existing biodiversity indices in the coverage of the metrics needed to support the implementation of the Global Biodiversity Framework by businesses. Metrics related to ecosystem integrity, connectivity and restoration, nature-based solutions, sea use change, aquatic biodiversity, genetic diversity and resources, the territory and knowledge by Indigenous Peoples, and urban green and blue spaces were insufficiently addressed by most available biodiversity indices. There is an urgent need to develop integrated biodiversity indices if businesses are to effectively measure and disclose their impacts on biodiversity in a way more consistent with the Global Biodiversity Framework. © 2024 Elsevier Ltd",Biodiversity conservation; Business biodiversity impacts; Business sustainability; Corporate biodiversity footprint analysis; Gap analysis; Post-2020 global biodiversity framework,Aquatic ecosystems; Conservation; Sustainable development; Biodiversity conservation; Biodiversity indexes; Business biodiversity impact; Business sustainability; Corporate biodiversity footprint analyse; Corporates; Financial institution; Footprint analysis; Gap analysis; Post-2020 global biodiversity framework; Biodiversity,Article,Final,,Scopus,2-s2.0-85189861132
Wang J.; Li Y.; Bork E.W.; Richter G.M.; Chen C.; Hussain Shah S.H.; Mezbahuddin S.,"Wang, Junye (35739431800); Li, Yumei (57886199500); Bork, Edward W. (7003411397); Richter, Goetz M. (24725535200); Chen, Changchun (55621033900); Hussain Shah, Syed Hamid (55890375600); Mezbahuddin, Symon (57216821332)",35739431800; 57886199500; 7003411397; 24725535200; 55621033900; 55890375600; 57216821332,"Effects of grazing management on spatio-temporal heterogeneity of soil carbon and greenhouse gas emissions of grasslands and rangelands: Monitoring, assessment and scaling-up",2021,Journal of Cleaner Production,288,,125737,,,,21,10.1016/j.jclepro.2020.125737,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099249889&doi=10.1016%2fj.jclepro.2020.125737&partnerID=40&md5=e1a74f20460eae6667c5c0289b6d12a3,"Grazing lands provide many goods and ecosystem services, such as forage, livestock, soil carbon (C) storage, biodiversity, and recreational opportunities. Ensuring the long-term sustainability of grazing lands requires optimal management to simultaneously balance livestock productivity for sustaining human food and nutritional demands while reducing environmental impacts, such as greenhouse gases (GHG) emissions and soil degradation. In this paper, we revisit grazing management in grazing lands exposed to different grazing systems. In Section 2, we briefly review parameterization and multi-faceted goals for sustainability of grazing systems considering broader sustainability from economic to environmental aspects. We also discuss the inconsistencies between grazing researchers and ranchers’ practices. In Section 3, we review the separate experimental data to examine the impacts of multi-paddock rotational grazing on soil carbon, nutrient and GHGs. In Section 4, we present status and upcoming challenges in monitoring and upscaling of grazing ecosystem research and management. In Section 5, new concepts of multiple source monitoring networks are presented that enable the analysis of scale-dependent processes. Finally, we point out future directions for monitoring and assessment of managing soil C and GHG emissions from grazing lands. The results show that the inconsistences are essentially due to (1) effects of spatiotemporal scales on both economic and ecological outcomes, and (2) simplistic representations of multi-faceted grazing systems and sustainability. The development of multi-faceted monitoring systems needs to be further parametrized and standardized to make consistent for meaningful and comparable assessment of grazing management impacts on SOC and GHGs. © 2020 Elsevier Ltd",Agroecosystem; GHGs; Grazing grassland; Grazing management; Nutrient cycles; Rangelands; Soil carbon,Agriculture; Biodiversity; Carbon; Digital storage; Ecosystems; Environmental impact; Gas emissions; Soils; Storage as a service (STaaS); Sustainable development; Ecosystem services; Environmental aspects; Grazing management; Greenhouse gases (GHG); Long-term sustainability; Monitoring and assessment; Optimal management; Spatio-temporal scale; Greenhouse gases,Review,Final,,Scopus,2-s2.0-85099249889
